求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业
"1631284316023685120,",赖先生,"[""数据分析师"",""其他"",""数据挖掘工程师""]",0,22,"[""广东省"",""深圳市"",""龙岗区""]",无经验,"熟悉MySQL和Python
",3000,6000,1,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",1周后到岗,[],,
"1631491020585828352,",陈先生,"[""数据分析师"",""数据挖掘工程师"",""其他""]",0,23,"[""广东省"",""惠州市"",""博罗县""]",无经验,"熟练使用 Python 语言，了解基础机器学习和深度学习算法和模型，多次参加数据类比赛并获奖，有一定的数据分析经验和能力。对数据库基础操作基本掌握。
",5000,7000,0,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",2周后到岗,[],本科 ,统计学 
"1631135062105915392,",潘先生,"[""其他""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,5000,1,[],"[""广东省"",""广州市"",""天河区""]",1周后到岗,"['Python', 'Linux', 'SQL']",本科 ,数据科学与大数据技术 
"1630852451164880896,",潘先生,"[""数据分析师"",""数据挖掘工程师""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,6000,0,"[""不限""]","[""广东省"",""广州市"",""天河区""]",1周后到岗,['Python'],本科 ,数据科学与大数据技术 
"1631126636327993344,",潘先生,"[""其他""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,5000,0,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",1周后到岗,"['Python', 'Linux']",本科 ,数据科学与大数据技术 
"1630105867208753152,",陈先生,"[""数据分析师"",""自然语言处理工程师"",""机器学习工程师""]",0,23,"[""广东省"",""肇庆市"",""广宁县""]",无经验,"1. 熟练使用python及其相关库操作。
2. 熟练Mysql数据库，熟悉标准SQL语句及存储过程。
3. 熟练掌握机器学习、深度学习技术。
4.有数理专业知识基础，了解常见的建模方法和流程。
5.善于分析与解决问题，有自己独立的分析思路，以及良好的编程风格。 
",3000,5000,1,"[""互联网"",""数据服务"",""电子商务""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],,
"1630884821167374336,",李女士,"[""数据分析师""]",1,23,"[""广东省"",""广州市"",""白云区""]",1年工作经验,为人正直真诚，活泼开朗，且好学上进，工作学习态度严谨认真，责任心强；有较强的组织能力和适应能力，并具有良好的身体素质，乐于沟通，具备良好的沟通能力和团队协作能力，有团队精神，能快速融入团队；有很强的抗压能力，能承担较大的工作量及较强的工作压力,5000,8000,0,"[""电子商务"",""游戏"",""不限""]","[""广东省"",""广州市"",""白云区""]",时间待议,['大数据分析师'],本科 ,应用统计学 
"1630818546172952576,",陈先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,本人认真刻苦、性格开朗，熟练使用 Python 的pandas、numpy、matplotlib等基础库，熟悉使用 MySQL数据库的增删改查，积极参与社会实践和项目锻炼，积极参加大多数的建模比赛，有较为丰富的模型建立，较为丰富的数据分析能力，能从不同角度进行问题的分析。,6000,8000,1,[],"[""广东省"",""广州市"",""天河区""]",1周后到岗,"['数据分析', 'python', 'MySQL']",本科 ,统计学 
"1623885034161307648,",田女士,"[""其他""]",1,24,"[""云南省"",""昆明市"",""官渡区""]",无经验,勤奋踏实，肯吃苦，有良好的沟通和表达能力，学习新事物能力强。语言表达清晰，有较强的逻辑思维能力。文字编纂能力较强。,3000,4000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",随时到岗,[],,
"1614575985309646848,",唐女士,"[""数据分析师"",""其他""]",1,22,"[""重庆市"",""重庆市"",""彭水苗族土家族自治县""]",无经验,个人擅长与人沟通，且有良好的抗压能力，并且能够承担相应的工作任务，吃苦耐劳，对事情比较专注，且有很强的责任心,5000,8000,1,"[""不限""]","[""重庆市"",""重庆市"",""渝中区""]",随时到岗,[],,
"1599636587363303424,",胡先生,"[""数据分析师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,"具备自我独立完成任务的能力，也能很好融入集体，具有集体荣誉感以及责任感
喜欢具有挑战性的任务，对待事物认真仔细
喜欢自我思考以及换位思考
对于新知识接受快,学习能力强",6000,11000,1,[],"[""广东省"",""深圳市"",""龙岗区""]",1个月后到岗,"['数据分析', 'python', '机器学习', 'MySQL', '自然语言处理']",本科 ,应用统计学 
"1584881617820844032,",林先生,"[""数据分析师"",""数据挖掘工程师""]",0,22,"[""广西壮族自治区"",""桂林市"",""灵川县""]",无经验,"信息与计算科学专业，c,c++有一定的基础知识，能够使用python进行编程，在校学习过数据库原理，",8000,10000,1,"[""不限""]","[""广东省"",""广州市"",""白云区""]",时间待议,[],,
"1529487074560966656,",史先生,"[""数据分析师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,"会Excel，Word，PowerPoint，sql，python、spss
得过校奖学金",7000,9000,1,"[""互联网""]","[""广东省"",""深圳市"",""罗湖区""]",1周后到岗,[],,
"1583024721031725056,",王女士,"[""数据分析师"",""数据挖掘工程师""]",1,22,"[""湖北省"",""武汉市"",""江夏区""]",无经验,"熟悉c/c++、以及数据结构和各种基本算法；
熟悉sql语言，了解mysql数据库的使用；
会用R语言，matlab语言进行简单的数据分析;
掌握办公室word、excel、powerpoint基本软件操作;",5000,7000,1,"[""互联网"",""数据服务"",""O2O""]","[""湖北省"",""武汉市"",""武昌区""]",随时到岗,[],本科 ,信息与计算科学 
"1582598236647063552,",黄先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",1年工作经验,有扎实的统计学基础； 有强大的自我驱动能力，对于新事物能够保持高昂的学习热情，对工作认真严谨负责；有良好的代码编写习惯，熟悉各种聚类算法、分类算法、回归算法；有较为良好的可视化基础能够构建可视化大屏，同时对数据有较高的敏感度；有较多的项目和竞赛经验，且在多次大型比赛中小有成绩,8000,12000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['互联网', '数据分析', '数据挖掘', '机器学习', '数据建模']",本科 ,统计学 
"1574625077318778880,",谢女士,"[""Hadoop大数据开发工程师"",""数据分析师""]",1,23,"[""湖南省"",""湘潭市"",""雨湖区""]",无经验,本人本科学的是计算机数据科学与大数据技术专业，熟悉hadoop大数据生态组件，如HDFS文件系统、MapReduce和yarn、能运用Hadoop架构实现大数据处理；掌握SQL语法及函数的使用； 具有持续学习和持续进步的自驱力，良好的沟通协作能力,9000,11000,1,[],"[""广东省"",""深圳市"",""南山区""]",时间待议,[],,
"1573938917198135296,",李女士,"[""Hadoop大数据开发工程师""]",1,22,"[""湖南省"",""湘潭市"",""雨湖区""]",无经验,"掌握Java、Python的基础语法，以及常用的数据结构与算法
掌握Hadoop、Hive 、Spark的基本原理以及使用，使用过Flume、Sqoop、Azkaban、Zookeeper、Kafka等组件
掌握SQL语法及函数的使用，以及相应的索引原理、存储引擎、事务等
掌握Linux系统的常用命",10000,15000,1,"[""互联网""]","[""广东省"",""广州市"",""番禺区""]",,[],本科 ,数据科学与大数据技术 
"1569987734318219264,",马先生,"[""数据分析师"",""数据挖掘工程师"",""图像处理工程师""]",0,23,"[""广西壮族自治区"",""南宁市"",""兴宁区""]",1年工作经验," 工作积极认真，细心负责，适应能力强、学习能力强、性格开朗、善于创新、敢于迎接挑战。
 熟练运用办公自动化软件，有较强的编程能力和分析能力。
 掌握 python、SAS、matlab 等软件；熟悉 SQL、C 语言、R 语言等编程软件。",8000,12000,1,"[""互联网"",""媒体"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,应用统计学 
"1569514123790778368,",杨先生,"[""数据分析师""]",0,22,"[""湖北省"",""武汉市"",""洪山区""]",无经验,"1.本人性格稳重随和、谈吐幽默风趣、具有优秀的社交能力和的组织协调能力。
2.适应能力强、可塑性高、具有进取精神和团队荣誉感。
3.强烈事业心和责任感使我能够面对任何困和和挑战。",7000,10000,0,"[""互联网""]","[""湖北省"",""武汉市"",""洪山区""]",时间待议,[],,
"1562334736783900672,",黄先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,掌握python基础技能，有数据挖掘，数据分析经历，能通过python对大数据进行分析与预测。积极向上，学习能力强,4000,8000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 ,信息与计算科学 
"1554782002648055808,",李女士,"[""数据分析师"",""数据挖掘工程师""]",1,24,"[""广东省"",""广州市"",""白云区""]",1年工作经验,"1、性格开朗外向，珍惜每一次学习机会，有较好的自学能力以及自我管理能力。
2、专业水平扎实，成绩优异，多次担任班干部，团队意识以及领导能力较强。
3、有半年的数据分析实习经验，并在实习期间按期完成工作任务，取得不错的成绩。
4、具有一定的抗压能力，能吃苦，对生活充满热情，做事认真，严谨。",6000,10000,1,"[""互联网"",""金融"",""在线教育""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,[],本科 ,统计学 
"1550096565136392192,",蓝先生,"[""数据分析师"",""其他""]",0,22,"[""广东省"",""梅州市"",""兴宁市""]",1年工作经验,本人有较强的组织协调能力、活动策划能力和公关能力;具有良好的团队精神，善于与人沟通和协作;社会实践能力强，对新事物接受能力快。能熟悉掌握办公软件（word、excel、PPT）。,3000,5000,0,"[""不限""]","[""广东省"",""广州市"",""番禺区""]",时间待议,[],本科 ,数学与应用数学精算专业 
"1541793867911790592,",殷先生,"[""其他""]",0,24,"[""湖南省"",""长沙市"",""开福区""]",1年工作经验,具有较强的逻辑分析和再学习能力，对前端领域有所认知，积极进取，勇于挑战，为人热情，工作勤奋刻苦，出色团队意识，强烈的责任感，适应较强的工作强度，适应加班。,6000,8000,1,"[""不限""]","[""广东省"",""深圳市"",""龙岗区""]",2周后到岗,['前端开发'],本科 ,网络工程 
"1461666278635864064,",张先生,"[""数据挖掘工程师"",""算法工程师""]",0,31,"[""陕西省"",""咸阳市"",""杨陵区""]",1年工作经验,积极参加学术研究，具有钻研精神,10000,15000,1,"[""互联网""]","[""广东省"",""深圳市"",""宝安区""]",时间待议,"['项目经验', '机器学习', '计量分析']",本科 硕士 ,农业机械化及其自动化 管理科学与工程 
"1461663453243637760,",廖女士,"[""数据分析师""]",1,23,"[""重庆市"",""重庆市"",""渝中区""]",无经验,"对数据挖掘分析及可视化兴趣强；
能较好地运用python和R；
性格开朗乐观，善于沟通；
学习能力较强；
有良好的团队精神，在工作中注意 团队沟通协作；
为人 诚恳，做事积极。",6000,9000,0,"[""互联网""]","[""重庆市"",""重庆市"",""渝中区""]",1周后到岗,"['项目管理', '数据分析']",本科 ,数据科学与大数技术 
"1530030540420415488,",许女士,"[""数据分析师""]",1,23,"[""广东省"",""汕头市"",""潮南区""]",无经验,"（1）做事注重细节和效率。在担任辅导员助理期间，协助老师完成多项学生工作，具备办公经验与沟通能力。
（2）数据分析能力。具备专业知识能力，参与多次学科竞赛，锻炼数据分析能力，曾获得2020年全国大学生数学建模竞赛一等奖。",7000,10000,1,"[""不限""]","[""广东省"",""广州市"",""海珠区""]",随时到岗,['数据分析'],本科 ,应用统计学 
"1529093815066034176,",梁先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,23,"[""广东省"",""韶关市"",""浈江区""]",无经验,"1、有一定的自学能力。
2、有较强的好奇心。
3、参加过数据分析、数据挖掘的比赛经验
4、有一定的matlab、python编程经验",3000,5000,1,[],"[""广东省"",""广州市"",""海珠区""]",时间待议,[],本科 ,信息与计算科学 
"1461659304984707072,",朱女士,"[""数据挖掘工程师"",""Hadoop大数据开发工程师""]",1,25,"[""广东省"",""广州市"",""黄埔区""]",无经验,主修课程包括数学分析、线性代数、C语言、概率论、Python语言基础、java程序设计、数据挖掘、文本挖掘、数学建模、深度学习等。喜欢泡CSDN论坛,6000,8000,0,"[""互联网"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",随时到岗,"['深度学习', '三级网络技术', 'Office软件', 'CET4']",本科 ,信息与计算科学 
"1461648125990141952,",王先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,30,"[""广东省"",""广州市"",""海珠区""]",1年工作经验,有良好的计算机与数理统计基础，以及英语阅读能力，熟悉数据数据结构与常见的算法如分治算法、动态规划；熟悉统计学和数据挖掘常用基本原理如回归分析，方差分析，主成分分析，神经网络，聚类等；熟悉常见的机器学习算法如K近邻、朴素贝叶斯、决策树、apriori、adaboost、EM算法等,12000,15000,1,"[""金融"",""互联网"",""电子商务""]","[""广东省"",""广州市"",""海珠区""]",2周后到岗,"['计算机专业', '数学基础扎实', '熟悉算法']",本科 硕士 ,信息与计算科学 应用统计学 
"1461614384609624064,",岑女士,"[""数据分析师""]",1,24,"[""广西壮族自治区"",""南宁市"",""青秀区""]",1年工作经验,在学习中，谦虚好学，积极进取，刻苦钻研。在工作中，认真负责，积极主动，能吃苦耐劳，有较强的的独立生活能力。大学期间，担任班级干部，并且兼任寝室长多年，有较强的组织能力、动手能力和团体协作精神。具有独特的想法，喜欢创新，有责任感和敬业精神，有崇高的理想。,5000,8000,1,"[""金融"",""电子商务""]","[""广西壮族自治区"",""南宁市"",""青秀区""]",随时到岗,"['喜欢创新', 'Python', 'PS', '网页设计']",本科 ,计算机科学与技术 
"1461601893229920256,",林先生,"[""数据分析师""]",0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"主修金融数学专业，熟悉数学以及金融专业知识；
有班长工作的经历，拥有不错的领导组织能力和团队精神；
关注数据分析行业，熟悉数据分析工作，对数据有敏锐的嗅觉以及数据的处理能力。",6000,10000,1,"[""金融""]","[""广东省"",""广州市"",""越秀区""]",2周后到岗,"['数据分析', '团队精神']",本科 ,金融数学 
"1524204652525125632,",请先生,"[""数据分析师""]",0,1,"[""北京市"",""北京市"",""东城区""]",无经验,qqqq,3000,5000,1,"[""电子商务""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
"1523993408442597376,",余先生,"[""其他"",""数据分析师"",""机器学习工程师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,对待工作认真负责，善于沟通、协调有较强的组织能力与团队精神；活泼开朗、乐观上进、有爱心并善于施教并行；上进心强、勤于学习能不断提高自身的能力与综合素质。,3000,4000,0,"[""互联网"",""游戏"",""计算机软件""]","[""广东省"",""广州市"",""白云区""]",随时到岗,"['前端开发', 'HTML', 'CSS', 'Java']",大专 ,软件技术 
"1507237125567938560,",焦先生,"[""数据分析师"",""数据挖掘工程师""]",0,33,"[""广东省"",""广州市"",""黄埔区""]",1年工作经验,tyyy,4000,6000,1,"[""互联网""]","[""广东省"",""广州市"",""黄埔区""]",,[],,
"1469173034668654592,",徐先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,"工作方面：对大数据分析、挖掘以及深度学习有极大热情，具备一定的数据分析、挖掘能力；
社交方面：在校任职、兼职期间，做到尽职尽责，具有良好的沟通能力、团队合作能力 。
",8000,13000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['数据分析挖掘', '机器学习', '深度学习', '计算机视觉']",本科 ,统计学 
"1461530285551255552,",易女士,"[""数据分析师"",""数据挖掘工程师""]",1,30,"[""广东省"",""广州市"",""天河区""]",4年工作经验,热爱数学,12000,15000,2,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",随时到岗,"['产品策划', '在线教育']",本科 ,应用统计学 
"1516604454231736320,",凡女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",1,1,"[""北京市"",""北京市"",""东城区""]",无经验,无人盯防VVVF长发短发,3000,4000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
"1511539161700630528,",测先生,"[""数据分析师""]",0,1,"[""北京市"",""北京市"",""东城区""]",无经验,1234,3000,6000,1,"[""金融"",""互联网""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
"1484409030448381952,",张先生,"[""数据挖掘工程师"",""自然语言处理工程师""]",0,29,"[""天津市"",""天津市"",""和平区""]",4年工作经验,热爱数学、计算机编程,8000,9000,1,"[""互联网"",""金融"",""电子商务""]","[""天津市"",""天津市"",""和平区""]",时间待议,[],,
"1506565365747023872,",刘先生,"[""数据分析师""]",0,24,"[""广东省"",""广州市"",""天河区""]",无经验,本人有较强的学习能力，喜欢经常整理自己的学习资料，具有一定的工作抗压能力和良好的团队合作精神用心进取，一向严格要求自己；对新技术充满好奇、不断探索提高;在学校参加过校纪检，有较强的执行能力.组织能力，也曾在在疫情期间，在凯硕电脑(苏州)有限公司物料组担任过组长,4000,8000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,['喜欢整理'],本科 ,数据科学与大数据技术 
"1476408366162116608,",杨先生,"[""Hadoop大数据开发工程师""]",0,26,"[""广东省"",""潮州市"",""湘桥区""]",无经验,"会java、python等编程语言
会MySQL",6000,9000,1,[],"[""广东省"",""广州市"",""天河区""]",1周后到岗,"['hadoop', '数据库', 'spark']",本科 ,信息与计算科学 
"1503958317985300480,",丘女士,"[""数据分析师"",""机器学习工程师"",""数据挖掘工程师""]",1,23,"[""广东省"",""广州市"",""白云区""]",无经验,"本人积极向上，谨慎细心、条理性强；对工作认真负责，充分发挥自己的思维和学习能力。
大学四年时间，我对各类软件有比较系统的运用、对各种数据分析项目有足够的实操经历，热爱数据分析。
在校实践经历，培养了我良好的组织协调、沟通交流、团队协作以及创新能力。",4000,7000,1,"[""互联网"",""电子商务"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 ,统计学 
"1503692152226578432,",苏女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",1,23,"[""广东省"",""珠海市"",""金湾区""]",无经验,"热爱自己的专业，努力学习掌握专业技能，补全更多专业知识。在校期间认真学习大数据技术专业知识。积极参加专业证书考培训课程，对大数据分析方面有很大兴趣。有良好学习能力和沟通能力，有责任感和较强的团队意识，乐观豁达，抗压能力
强。
",3000,4000,1,"[""互联网"",""计算机软件"",""数据服务""]","[""广东省"",""广州市"",""越秀区""]",随时到岗,[],,
"1503675724379324416,",罗先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,29,"[""福建省"",""厦门市"",""集美区""]",无经验,"1 做事认真细致，对数字有一定的敏感性，有较强的逻辑和快速学习能力，能承担挑战性的工作。
2 喜欢数据挖掘，坚持学习，不断进步
3 与人善处，富有团队协作精神",8000,12000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 硕士 ,统计学 统计学 
"1502923771693105152,",万先生,"[""数据分析师"",""Hadoop大数据开发工程师""]",0,23,"[""重庆市"",""重庆市"",""沙坪坝区""]",1年工作经验,数仓分层建设：Hive 与 ETL 有项目和工作经验 ；熟悉 Python 语言、Mysql 数据库，掌握 sql 技能 熟悉 Hadoop、Spark 等大数据技术 ；熟悉 Django 框架、Scrapy 爬虫框架，对 web 开发和数据采集有一定经验 熟悉 Linux 系统，掌握常用的 lin,7000,12000,1,"[""不限""]","[""四川省"",""成都市"",""武侯区""]",时间待议,[],,
"1502226049910571008,",胡女士,"[""数据分析师"",""数据挖掘工程师"",""图像处理工程师""]",1,25,"[""陕西省"",""汉中市"",""汉台区""]",无经验,"1.数学知识掌握的非常不错。
2.对Python，JAVA，c#都有所了解。
3.学习能力强且吃苦耐劳。
4.熟练使用matlab，lingo，Excel，PPT，MySQL等
5.熟练使用office，Excel等办公软件。
",10000,15000,1,"[""计算机软件"",""互联网"",""信息安全""]","[""广东省"",""深圳市"",""盐田区""]",时间待议,"['软件', '后端', '数据处理']",,
"1501939246758494208,",蔡女士,"[""数据分析师""]",1,24,"[""广东省"",""潮州市"",""潮安区""]",无经验,"主修课程为Python程序基础编程、excel数据分析、MySQL、数据挖掘：R语言实战等课程。
有英语六级证书",4000,8000,1,"[""互联网"",""不限"",""电子商务""]","[""广东省"",""广州市"",""天河区""]",2周后到岗,[],本科 ,统计学 
"1470329852602220544,",关女士,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",1,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,本人是2022届毕业生，在校期间积极参加社会实践。本人好奇心和责任心比较强，实践工作期间，遇到问题会努力寻求解决方法，向别人请教学习以及反省自己。实习实训期间，积极学习大数据相关知识内容，和其他人团队合作完成水质识别，商品重复购买预测等任务。希望能进入贵公司发展，努力学习知识，提升自己。,6000,10000,1,"[""不限""]","[""广东省"",""深圳市"",""福田区""]",时间待议,[],本科 ,数据科学与大数据技术 
"1501850256562847744,",张女士,"[""数据分析师""]",1,1,"[""北京市"",""北京市"",""东城区""]",无经验,111,3000,4000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",1周后到岗,[],,
"1500714639468658688,",测女士,"[""数据挖掘工程师"",""算法工程师""]",1,1,"[""广东省"",""广州市"",""天河区""]",无经验,技能,5000,7000,1,"[""互联网"",""数据服务""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,"['数据分析', '团队精神']",,
